     r      z          rho        v_phi  sigma_phi    sigma_r    sigma_z
0.0072 0.0002    4091.9110 5.952421e+01  55.539322  60.367153  60.399649
0.0073 0.0002    3980.6840 5.943907e+01  55.560536  60.349779  60.411789
0.0074 0.0002    3873.4040 5.935313e+01  55.585772  60.334398  60.427304
0.0075 0.0002    3769.8970 5.927124e+01  55.612901  60.322091  60.447142
0.0076 0.0002    3669.9990 5.918839e+01  55.642786  60.312549  60.466365
0.0077 0.0002    3573.5550 5.910651e+01  55.675062  60.305259  60.487722
0.0078 0.0002    3480.4150 5.902641e+01  55.708258  60.300112  60.509185
0.0079 0.0002    3390.4400 5.894574e+01  55.746488  60.297144  60.536126
0.0080 0.0002    3303.4960 5.886697e+01  55.784630  60.295957  60.561650
0.0081 0.0002    3219.4570 5.878880e+01  55.825338  60.297155  60.589205
0.0082 0.0002    3138.2030 5.871118e+01  55.867751  60.300465  60.619858
0.0083 0.0002    3059.6190 5.863464e+01  55.912600  60.305441  60.650372
0.0084 0.0002    2983.5960 5.856023e+01  55.957455  60.312625  60.680257
0.0085 0.0002    2910.0320 5.848536e+01  56.004823  60.321651  60.714246
0.0086 0.0002    2838.8270 5.841189e+01  56.053306  60.332696  60.748295
0.0087 0.0002    2769.8890 5.833922e+01  56.103483  60.345369  60.785236
0.0088 0.0002    2703.1270 5.826705e+01  56.155804  60.361726  60.822417
0.0089 0.0002    2638.4570 5.819674e+01  56.208118  60.376473  60.856755
0.0090 0.0002    2575.7970 5.812784e+01  56.261721  60.394579  60.897904
0.0091 0.0002    2515.0700 5.805915e+01  56.316863  60.413613  60.936409
0.0092 0.0002    2456.2030 5.799094e+01  56.372685  60.432801  60.976394
0.0093 0.0002    2399.1250 5.792371e+01  56.429737  60.454462  61.016145
0.0094 0.0002    2343.7680 5.785742e+01  56.487677  60.478731  61.058609
0.0095 0.0002    2290.0690 5.779380e+01  56.544923  60.503295  61.099718
0.0096 0.0002    2237.9660 5.772972e+01  56.604695  60.528913  61.145612
0.0097 0.0002    2187.4000 5.766567e+01  56.666360  60.555812  61.191074
0.0098 0.0002    2138.3160 5.760406e+01  56.727289  60.584146  61.235059
0.0099 0.0002    2090.6590 5.754303e+01  56.788682  60.614825  61.279488
0.0100 0.0002       0.0000 5.748291e+01  56.851399  60.646000  61.326014
0.0000 0.0003  354534.8000 0.000000e+00 137.919728 137.918982 156.956497
0.0001 0.0003  362313.6000 1.515712e+01 161.891078 154.017362 172.409486
0.0002 0.0003  350275.7000 2.853419e+01 156.323309 144.940899 157.196682
0.0003 0.0003  306422.4000 3.798753e+01 146.578759 134.105318 141.806212
0.0004 0.0003  254304.2000 4.421725e+01 136.348243 123.936544 128.762821
0.0005 0.0003  208187.4000 4.837114e+01 127.064180 115.251396 118.237660
0.0006 0.0003  171286.8000 5.128729e+01 119.001814 108.075129 109.828763
0.0007 0.0003  142630.8000 5.342347e+01 112.110961 102.192273 103.068349
0.0008 0.0003  120422.3000 5.506724e+01 106.203927  97.329941  97.569559
0.0009 0.0003  103062.0000 5.637980e+01 101.107897  93.284088  93.038777
0.0010 0.0003   89319.5200 5.744956e+01  96.683138  89.877702  89.261122
0.0011 0.0003   78285.7800 5.834384e+01  92.805444  86.988311  86.085077
0.0012 0.0003   69298.9900 5.909943e+01  89.382510  84.504606  83.362118
0.0013 0.0003   61881.3000 5.973271e+01  86.340808  82.346158  81.019446
0.0014 0.0003   55683.9300 6.026877e+01  83.618981  80.455207  78.993171
0.0015 0.0003   50448.8300 6.072790e+01  81.177354  78.787621  77.213313
0.0016 0.0003   45982.3400 6.111772e+01  78.978081  77.311052  75.655526
0.0017 0.0003   42136.1900 6.145447e+01  76.988650  75.992782  74.268857
0.0018 0.0003   38795.5300 6.174591e+01  75.185447  74.812180  73.044829
0.0019 0.0003   35871.3500 6.199241e+01  73.542712  73.746281  71.940754
0.0020 0.0003   33293.7900 6.219934e+01  72.043164  72.780912  70.946542
0.0021 0.0003   31007.3600 6.236776e+01  70.674615  71.901993  70.061930
0.0022 0.0003   28967.5100 6.250033e+01  69.423284  71.096851  69.262567
0.0023 0.0003   27138.1300 6.260621e+01  68.273481  70.355375  68.527946
0.0024 0.0003   25489.6600 6.269014e+01  67.219736  69.675490  67.856212
0.0025 0.0003   23997.6700 6.275315e+01  66.249930  69.047266  67.244089
0.0026 0.0003   22641.7800 6.279991e+01  65.359791  68.469253  66.682273
0.0027 0.0003   21404.5700 6.283277e+01  64.536849  67.932222  66.168318
0.0028 0.0003   20271.4300 6.284977e+01  63.781170  67.434939  65.699354
0.0029 0.0003   19230.0200 6.285365e+01  63.084891  66.973905  65.268541
0.0030 0.0003   18269.8800 6.284563e+01  62.443297  66.546268  64.869293
0.0031 0.0003   17382.0800 6.282792e+01  61.851285  66.146386  64.505251
0.0032 0.0003   16558.9400 6.280149e+01  61.304696  65.773546  64.167873
0.0033 0.0003   15793.8600 6.276487e+01  60.799381  65.423787  63.852657
0.0034 0.0003   15081.0900 6.272264e+01  60.333495  65.095842  63.569079
0.0035 0.0003   14415.6100 6.267227e+01  59.901315  64.787066  63.302878
0.0036 0.0003   13793.0500 6.261408e+01  59.503448  64.496774  63.058876
0.0037 0.0003   13209.5300 6.255093e+01  59.135869  64.223744  62.832660
0.0038 0.0003   12661.6600 6.248152e+01  58.796167  63.965588  62.620700
