l,b,gaia_l_median,gaia_l_std,gaia_b_median,gaia_b_std,synth_l_median,synth_l_std,synth_b_median,synth_b_std
-10,-7,-5.316017537179255,3.625448770457233,-0.6098257832457923,2.6877287620678882,-6.22065265,3.66688143446601,-0.41059695,2.6282975394617387
-9,-7,-5.385389184714536,3.447812698259841,-0.5454622008951651,2.6060883620374256,-6.16486295,3.739902562820341,-0.37999552999999997,2.5317492630227667
-8,-7,-5.4442208161232815,3.331718919800506,-0.4881295183269969,2.652267184407819,-6.2678119500000005,3.269794492645865,-0.39410985,2.5330355495034858
-7,-7,-5.461471177362719,3.5976951818436973,-0.4568504376958693,2.7359858600030487,-6.2480916,3.2944364719508843,-0.37656626,2.5520373138790475
-6,-7,-5.665365825825733,3.3806635506906524,-0.42765388859433273,2.648356288398702,-6.2791745500000005,3.043486650966616,-0.34404031999999996,2.5235475968449466
-5,-7,-5.709389237284503,3.5540088156152376,-0.4315065979981598,2.684106663868078,-6.1829838,3.0485614216648775,-0.37358546,2.5084078806820482
-4,-7,-5.696170001834674,3.3437623237538516,-0.45465820589476924,2.704621847933509,-6.1530232,3.0664306127668044,-0.34652976,2.559954150458701
-3,-7,-5.619870643172492,3.2988569735656235,-0.42939143773130106,2.924050727563514,-6.04776605,3.4245086437928975,-0.32317914999999997,2.611703952117367
-2,-7,-5.544538532837406,3.3767789054470625,-0.4652457478887322,2.9635399136085145,-6.0434681,2.978923749969918,-0.34227501,2.60033773541376
-1,-7,-5.515622042909064,3.245491603974527,-0.5089840582023111,2.9838561957382255,-5.9518853499999995,2.901257986509883,-0.327749125,2.6165196214403577
0,-7,-5.436281698660472,3.381639160100183,-0.48688341268396573,3.0693918117386345,-5.8193747,3.139435852705109,-0.3167792,2.5990139917287305
1,-7,-5.289917312325943,3.288003572594624,-0.5046714054288416,2.9471483960081026,-5.7880453,3.026721617989074,-0.27626171,2.576915257362716
2,-7,-5.297644045231248,3.186233675058123,-0.45689021908487926,2.8879683193020043,-5.699620550000001,2.950792020504055,-0.29368683,2.5966988400696214
3,-7,-5.297335207393825,3.096931131060916,-0.4292251433213573,3.0258892305183402,-5.627494,3.0038132152688606,-0.30069233500000003,2.5781163648263967
4,-7,-5.298796841149515,3.1476990862921688,-0.34939005300413195,2.9131780473752045,-5.5831063,3.0754873838914154,-0.28078682,2.569636264451179
5,-7,-5.433610352981661,3.1386838350692434,-0.2658434144414556,2.7943523351896973,-5.5308444,3.0122072330440544,-0.273297115,2.545241273517412
6,-7,-5.481698045722011,3.1718404231353547,-0.2613949629940186,2.7061300392146386,-5.4762318,3.006450276681633,-0.25355666,2.6159565051734357
