l,b,gaia_median,gaia_std,synth_median,synth_std
0,-5,-0.4660120149873066,3.190429005057592,-0.31181895,2.785254788090584
1,-5,-0.4205958801558217,3.1010623817367184,-0.24547658,2.636725300579534
2,-5,-0.3784085772421701,2.955458854631466,-0.280406975,2.624555081862796
3,-5,-0.3174953317946939,2.993629346729555,-0.27366283,2.60821061229398
4,-5,-0.3306176095895591,2.70822311802141,-0.27893063,2.550607347104561
5,-5,-0.247525771117483,2.7472851997706,-0.27169472,2.5539552011031708
6,-5,-0.276917956131078,2.7195350039632777,-0.30080182,2.497967743728037
7,-5,-0.3249585028746818,2.616680679009666,-0.273427315,2.520585513693791
8,-5,-0.3201044270807848,2.846541707445065,-0.29721057,2.507889076341011
9,-5,-0.2679257322644758,2.6220055324339686,-0.32999637,2.531413807770987
10,-5,-0.2580281141256808,2.5945736080807738,-0.30157572,2.580743708534733
-10,-4,-0.5963942018189989,2.5996487398597545,-0.548830955,2.558890933637299
-9,-4,-0.5945880116927378,2.6095566201587954,-0.56005477,2.7396600990783133
-8,-4,-0.4780096005531706,2.656775974679407,-0.47275213,3.2822402273245754
-7,-4,-0.402105512708425,2.767329057726789,-0.433158805,2.556189245836619
-6,-4,-0.4318663563468761,3.034901950020985,-0.36383716,2.417879591363456
-5,-4,-0.4242888505860245,2.7699859349297578,-0.29714041,2.493257286641481
-4,-4,-0.3513405335868794,2.939116776984688,-0.3051294249999999,2.520042519075482
-3,-4,-0.4392397111970684,3.041624349854596,-0.32678184,2.6372898793507784
-2,-4,-0.4433562155414634,3.3090960490980508,-0.35389465,2.6489518546701745
-1,-4,-0.4119839095269502,3.150163926354153,-0.351508625,2.897410591304
0,-4,-0.3902999130111367,3.529654355781139,-0.30536468,2.688227079673311
1,-4,-0.6302076217296457,3.161565646178442,-0.26008711,2.68159629741937
2,-4,-0.4126470337873128,3.11905266111452,-0.2740881,2.6376506758134544
3,-4,-0.3916719166791138,2.966489855756364,-0.264004605,2.597801526825176
4,-4,-0.3783169063812347,2.929326526960055,-0.274495935,2.5496095742476763
