_l_key,_b_key,l_baseline,b_baseline,avg_tau_baseline,eventrate_source_baseline,eventrate_area_baseline,avg_t_baseline,avg_logt_baseline,frac_lowmass_baseline,l_kirkpatrick_min001,b_kirkpatrick_min001,avg_tau_kirkpatrick_min001,eventrate_source_kirkpatrick_min001,eventrate_area_kirkpatrick_min001,avg_t_kirkpatrick_min001,avg_logt_kirkpatrick_min001,frac_lowmass_kirkpatrick_min001
-3.079,-3.525,-3.079,-3.525,1.3506936772542777e-06,1.3404786987812084e-05,113.89656244582105,23.429730726371048,1.2039982581622215,0.069739802907518,-3.079,-3.525,1.815355030189225e-06,1.689924504305029e-05,2905.03428939392,24.978400062983177,1.2456272613241075,0.0773319601756488
-3.158,-3.391,-3.158,-3.391,1.4158219064256672e-06,1.4422647527879952e-05,119.50456246019478,22.826219294265343,1.2062575363879728,0.0532485937569097,-3.158,-3.391,1.6740357507794612e-06,1.606696277861722e-05,2954.470723236059,24.227092003373706,1.2222739327040637,0.0779761130440749
-3.237,-3.258,-3.237,-3.258,1.6453716801518886e-06,1.5684965297862677e-05,149.60343946832347,24.39219051526082,1.220860574054319,0.0604810726393649,-3.237,-3.258,1.7506054254034872e-06,1.6948266877586844e-05,3167.572637121403,24.01780550526945,1.219322673682156,0.08312360199838
-3.315,-3.125,-3.315,-3.125,1.5719875215197378e-06,1.5583181395656416e-05,113.58556396404784,23.4565056849196,1.2159657463537283,0.0588147269928556,-3.315,-3.125,1.921646080104948e-06,1.8578220027263652e-05,3701.753747488422,24.05136060928976,1.2292652056220283,0.0834821759289807
-3.395,-2.993,-3.395,-2.993,1.4369291664000607e-06,1.4893849398779654e-05,102.20524204774811,22.43358851050905,1.195023911779191,0.0712835583497721,-3.395,-2.993,2.1429990569362357e-06,1.8900492673710942e-05,3933.5238487767942,26.364479551210373,1.2487390369678133,0.0779341273112218
-3.474,-2.86,-3.474,-2.86,1.685273903909451e-06,1.610019909255543e-05,120.56505239149844,24.33938480730193,1.212872153381032,0.0692914076774218,-3.474,-2.86,2.613760245012273e-06,2.16160490560466e-05,4742.709618592535,28.116404220834745,1.26606963387657,0.0646981797939318
-2.641,-3.636,-2.641,-3.636,1.541977182251888e-06,1.4210175854635144e-05,125.15384238944712,25.231835366877306,1.2303930887708756,0.0529308253011078,-2.641,-3.636,1.5269899406292835e-06,1.4962288763103317e-05,2529.554249472541,23.73058757178234,1.2138509500868229,0.0828016350543274
-2.719,-3.502,-2.719,-3.502,1.4699615482622886e-06,1.4390702780467218e-05,99.83510449417044,23.751679180637197,1.205906355031158,0.0773946042415572,-2.719,-3.502,1.568585745580396e-06,1.5795281287510703e-05,2766.5108053864897,23.09145225982608,1.211637309524042,0.08371278089171
-2.798,-3.368,-2.798,-3.368,1.5875585959418633e-06,1.546325521977377e-05,109.22968870991772,23.8725706599293,1.2084334613046157,0.0551629923457386,-2.798,-3.368,1.821039414604642e-06,1.7443439686211958e-05,3327.542325430188,24.274906478587088,1.2202050878485986,0.0875308847651661
-2.877,-3.234,-2.877,-3.234,1.4843548318809376e-06,1.5587522481726454e-05,110.42308843907598,22.142720862527085,1.1819398330733395,0.0742528944695582,-2.877,-3.234,2.0678708486508434e-06,1.9497708028917325e-05,4021.344169054241,24.660972321577177,1.2272751090929634,0.0776201784982039
